T,current_km,best_km
105894.118362,732197.966481,732177.736605
105260.654992,2696939.37386,732177.736605
104630.981029,2741810.01269,732177.736605
104005.073803,2789038.29152,732177.736605
103382.910782,2774952.16568,732177.736605
102764.469569,2787780.65963,732177.736605
102149.727899,2790094.75569,732177.736605
101538.663641,2805622.14538,732177.736605
100931.254797,2734534.66315,732177.736605
100327.479499,2732990.53397,732177.736605
99727.3160131,2815275.56638,732177.736605
99130.7427317,2862828.72693,732177.736605
98537.7381785,2762632.33224,732177.736605
97948.2810052,2836185.95539,732177.736605
97362.3499911,2867385.24188,732177.736605
96779.9240426,2792767.60452,732177.736605
96200.9821923,2870039.23027,732177.736605
95625.5035982,2758711.55792,732177.736605
95053.4675428,2770941.48121,732177.736605
94484.8534328,2823540.72024,732177.736605
93919.6407979,2680511.59287,732177.736605
93357.8092904,2752771.87628,732177.736605
92799.3386842,2809521.3745,732177.736605
92244.2088742,2774497.58775,732177.736605
91692.3998757,2762396.39788,732177.736605
91143.8918234,2741847.54331,732177.736605
90598.6649709,2779767.01677,732177.736605
90056.6996898,2817716.08195,732177.736605
89517.9764694,2800238.11666,732177.736605
88982.4759155,2821254.22827,732177.736605
88450.17875,2810363.49116,732177.736605
87921.06581,2788993.4596,732177.736605
87395.1180473,2746578.61191,732177.736605
86872.3165278,2822319.95456,732177.736605
86352.6424305,2764343.052,732177.736605
85836.0770469,2790643.83469,732177.736605
85322.6017806,2788531.99073,732177.736605
84812.1981465,2836101.59004,732177.736605
84304.8477697,2809520.04842,732177.736605
83800.5323857,2748240.19699,732177.736605
83299.233839,2750554.5301,732177.736605
82800.9340827,2778600.57846,732177.736605
82305.6151779,2731100.25439,732177.736605
81813.259293,2820489.07598,732177.736605
81323.8487032,2826590.6227,732177.736605
80837.3657894,2833234.4401,732177.736605
80353.7930383,2805150.22783,732177.736605
79873.1130411,2826124.21165,732177.736605
79395.3084932,2756203.90029,732177.736605
78920.3621936,2785668.16217,732177.736605
78448.257044,2834511.17637,732177.736605
77978.9760487,2748267.15677,732177.736605
77512.5023133,2805685.51245,732177.736605
77048.8190447,2743454.0625,732177.736605
76587.9095503,2779088.78628,732177.736605
76129.7572372,2781379.44359,732177.736605
75674.3456118,2721845.10819,732177.736605
75221.6582791,2818494.27318,732177.736605
74771.6789424,2796510.13429,732177.736605
74324.3914024,2760510.96977,732177.736605
73879.7795564,2792379.52221,732177.736605
73437.8273985,2742342.75786,732177.736605
72998.5190182,2773459.05294,732177.736605
72561.8386004,2836716.09498,732177.736605
72127.7704244,2812588.36771,732177.736605
71696.2988637,2784145.53907,732177.736605
71267.4083853,2771918.82737,732177.736605
70841.083549,2752096.3345,732177.736605
70417.309007,2798468.98971,732177.736605
69996.0695033,2716620.83764,732177.736605
69577.3498733,2775856.60944,732177.736605
69161.1350429,2756427.9722,732177.736605
68747.4100283,2851786.17835,732177.736605
68336.1599352,2822199.24204,732177.736605
67927.3699588,2718159.35929,732177.736605
67521.0253822,2749306.00869,732177.736605
67117.1115772,2779695.89413,732177.736605
66715.6140028,2735316.38634,732177.736605
66316.5182048,2798748.66087,732177.736605
65919.8098158,2805838.36556,732177.736605
