T,current_km,best_km
46135.0821987,318652.824214,317298.64529
45859.1000659,328587.937102,303375.099572
45584.7688706,332495.820682,293346.365706
45312.0787368,339326.038039,293346.365706
45041.0198477,328994.930334,284509.815393
44771.5824449,323238.091637,284509.815393
44503.7568289,310712.011426,284509.815393
44237.5333576,323819.517786,284509.815393
43972.9024472,326350.740871,284509.815393
43709.8545707,355745.417791,284509.815393
43448.3802584,317278.791104,284509.815393
43188.4700972,327708.189145,284509.815393
42930.1147303,351749.884692,284509.815393
42673.3048567,340160.898578,284509.815393
42418.0312314,313175.945686,284509.815393
42164.2846643,330335.986578,284509.815393
41912.0560206,323141.750964,284509.815393
41661.33622,332933.955551,284509.815393
41412.1162364,324739.899998,284509.815393
41164.387098,336456.747388,284509.815393
40918.1398864,303919.568809,284509.815393
40673.3657367,308656.917111,284509.815393
40430.055837,310280.685833,284509.815393
40188.201428,300733.368317,284509.815393
39947.7938029,321731.973026,284509.815393
39708.824307,317743.233922,284509.815393
39471.2843374,336531.022642,284509.815393
39235.1653425,332567.376369,284509.815393
39000.4588221,324148.294088,284509.815393
38767.1563266,303798.884294,284509.815393
38535.2494571,324097.294102,284509.815393
38304.7298649,314491.209151,284509.815393
38075.5892513,337175.878812,284509.815393
37847.8193671,318231.871702,284509.815393
37621.4120126,329985.236806,284509.815393
37396.359037,318736.532375,284509.815393
37172.6523385,335743.850093,284509.815393
36950.2838634,345163.30624,284509.815393
36729.2456066,326517.547684,284509.815393
36509.5296105,317060.888421,284509.815393
36291.1279654,334509.684711,284509.815393
36074.0328087,309089.671332,284509.815393
35858.236325,316219.764724,284509.815393
35643.7307455,333506.26743,284509.815393
35430.5083481,327062.712734,284509.815393
35218.5614566,326727.708357,284509.815393
35007.8824409,326897.967375,284509.815393
34798.4637166,321251.644379,284509.815393
34590.2977444,315144.574446,284509.815393
34383.3770305,336710.113312,284509.815393
34177.6941256,352431.35052,284509.815393
33973.241625,323879.839356,284509.815393
33770.0121685,330301.216654,284509.815393
33567.9984396,325246.821122,284509.815393
33367.193166,322126.262924,284509.815393
33167.5891186,319434.158406,276988.844262
32969.1791115,323778.028728,276988.844262
32771.956002,334710.146331,276988.844262
32575.91269,315972.487603,276988.844262
32381.0421179,325613.840295,276988.844262
32187.3372703,339009.780337,276988.844262
31994.7911738,337926.81027,276988.844262
31803.3968967,342092.546185,276988.844262
31613.1475487,307334.864613,276988.844262
31424.0362809,321890.761789,276988.844262
31236.0562852,332564.901109,276988.844262
31049.2007942,327731.394364,276988.844262
30863.4630812,319980.956435,276988.844262
30678.8364595,316202.682932,276988.844262
30495.3142826,349863.427466,276988.844262
30312.8899435,340597.161885,276988.844262
30131.5568751,322624.682324,276988.844262
29951.3085492,352238.237323,276988.844262
29772.1384768,318195.173754,276988.844262
29594.0402079,310780.623745,276988.844262
29417.0073309,330100.904591,276988.844262
29241.0334724,333532.159216,276988.844262
29066.1122975,320016.22558,276988.844262
28892.2375089,350969.56239,276988.844262
28719.4028471,310170.641703,276988.844262
28547.60209,325073.301964,276988.844262
28376.8290527,330790.992191,276988.844262
28207.0775874,325050.099528,276988.844262
28038.341583,322110.893677,276988.844262
27870.614965,341741.573387,276988.844262
27703.8916951,315457.55407,276988.844262
27538.1657713,335214.890597,276988.844262
27373.4312274,319795.698186,276988.844262
27209.6821329,312114.260304,276988.844262
27046.9125929,312361.415858,276988.844262
26885.1167476,331782.245806,276988.844262
26724.2887722,319470.004939,276988.844262
26564.4228771,315453.958526,276988.844262
26405.5133069,318855.988612,276988.844262
26247.5543409,323643.296094,276988.844262
26090.5402925,325098.173695,276988.844262
25934.4655092,338451.762916,276988.844262
25779.3243723,325570.745911,276988.844262
25625.1112966,333843.231853,276988.844262
25471.8207305,324560.860366,276988.844262
25319.4471554,350395.398249,276988.844262
25167.9850859,342555.689407,276988.844262
25017.4290692,325512.773902,276988.844262
24867.7736854,316604.555631,276988.844262
24719.0135469,330211.092105,276988.844262
24571.1432982,316762.604986,276988.844262
24424.1576159,324358.510668,276988.844262
24278.0512086,323160.930521,276988.844262
24132.8188164,331652.367853,276988.844262
23988.4552108,316052.508008,276988.844262
23844.9551949,312305.033239,276988.844262
23702.3136024,325036.845987,276988.844262
23560.5252984,327019.165753,276988.844262
23419.5851784,327984.772763,276988.844262
23279.4881685,321705.215595,276988.844262
23140.2292252,319560.894274,276988.844262
23001.8033352,317261.466392,276988.844262
22864.205515,319739.369183,276988.844262
22727.4308112,308950.028538,276988.844262
22591.4742998,301966.85324,276988.844262
22456.3310864,305913.209823,276988.844262
22321.9963057,316360.729173,276988.844262
22188.4651217,335312.800449,276988.844262
22055.7327273,335384.392411,276988.844262
21923.794344,335700.662132,276988.844262
21792.645222,315333.579154,276988.844262
21662.2806399,301037.04804,272702.756669
21532.6959047,315982.796131,272702.756669
21403.8863511,342513.318236,272702.756669
21275.8473421,331097.738488,272702.756669
21148.5742682,326662.999884,272702.756669
21022.0625475,349555.349475,272702.756669
20896.3076256,335886.558931,272702.756669
20771.3049753,321459.404284,272702.756669
20647.0500965,317353.109257,272702.756669
20523.5385159,329864.892219,272702.756669
20400.7657872,319201.837979,272702.756669
20278.7274904,326024.873105,272702.756669
20157.4192322,335183.766221,272702.756669
20036.8366455,316875.617946,272702.756669
19916.9753891,337874.068942,272702.756669
19797.8311482,323428.00377,272702.756669
19679.3996335,296458.034575,272702.756669
19561.6765815,312608.172964,272702.756669
